str_res_item_name_3000003,音符雷达
str_res_item_name_3052009,紫薇庄园（1天）
str_res_item_detail_3046131,紫薇花幼苗，种植需花园等级5，10小时后开花。收获产量8，花园经验80，收获花朵效果：对局内使用，增加4点友好度
str_res_item_name_3046131,紫薇花幼苗
str_res_item_detail_3036113,紫薇花开百日红，轻抚枝干全树动。效果：对局内使用，增加4点友好度
str_res_item_name_3036113,紫薇花
str_res_item_name_3036172,紫苏
str_res_item_name_3000036,紫色烟雾弹
str_res_item_name_3040006,紫色烟花筒
str_res_item_name_3116011,紫色精华碎片
str_res_item_detail_3116011,紫色的魔力精华碎片，可通过宠物打工玩法获得
str_res_item_name_3067029,紫罗兰心对戒盒
str_res_item_detail_3030107,紫罗兰代表永恒的美；质朴，美德。希腊神话记载其是由女神维纳斯的眼泪生成。效果：对局内使用，增加110点心动值
str_res_item_detail_3030118,紫罗兰代表永恒的美；质朴，美德。希腊神话记载其是由女神维纳斯的眼泪生成。效果：对局内使用，增加100点心动值
str_res_item_name_3097146,紫灵宝贝蛋壳
str_res_item_detail_3042516,紫灵宝贝宠物蛋。可砸出珍贵稀有等级的紫灵宝贝，有效期永久。可激活防御方向天赋，天赋技能是“甜心守护”，能够将队友受到的伤害吸收到自己身上。
str_res_item_detail_3042515,紫灵宝贝宠物蛋。可砸出稀少稀有等级的紫灵宝贝，有效期永久。可激活防御方向天赋，天赋技能是“甜心守护”，能够将队友受到的伤害吸收到自己身上。
str_res_item_detail_3042518,紫灵宝贝宠物蛋。可砸出极品稀有等级的紫灵宝贝，有效期永久。可激活防御方向天赋，天赋技能是“甜心守护”，能够将队友受到的伤害吸收到自己身上。
str_res_item_detail_3042517,紫灵宝贝宠物蛋。可砸出极品稀有等级的紫灵宝贝，有效期1天。可激活防御方向天赋，天赋技能是“甜心守护”，能够将队友受到的伤害吸收到自己身上。
str_res_item_name_3097192,紫晶粉末
str_res_item_name_3005100,紫荆花
str_res_item_name_3115036,紫金矿石
str_res_item_detail_3063398,紫凤蝶宠物蛋。可砸出珍贵稀有等级的紫凤蝶，有效期永久
str_res_item_detail_3063391,紫凤蝶宠物蛋。可砸出珍贵稀有等级的紫凤蝶，有效期1天
str_res_item_detail_3063384,紫凤蝶宠物蛋。可砸出稀少稀有等级的紫凤蝶，有效期永久
str_res_item_detail_3063377,紫凤蝶宠物蛋。可砸出稀少稀有等级的紫凤蝶，有效期1天
str_res_item_detail_3063370,紫凤蝶宠物蛋。可砸出随机稀有等级的紫凤蝶，有效期永久
str_res_item_detail_3063363,紫凤蝶宠物蛋。可砸出随机稀有等级的紫凤蝶，有效期1天
str_res_item_detail_3063412,紫凤蝶宠物蛋。可砸出极品稀有等级的紫凤蝶，有效期永久
str_res_item_detail_3063405,紫凤蝶宠物蛋。可砸出极品稀有等级的紫凤蝶，有效期1天
str_res_item_name_3063370,紫凤蝶(永久)
str_res_item_name_3063363,紫凤蝶(1天)
str_res_item_name_3115063,紫冰灵璎珞碎片B
str_res_item_name_3115062,紫冰灵璎珞碎片A
str_res_item_name_3116020,紫冰灵璎珞
str_res_item_name_3089147,滋水枪动作包
str_res_item_name_3034774,滋水枪
str_res_item_name_3034178,装装可爱
str_res_item_detail_3050002,装着小喇叭的微型包裹
str_res_item_detail_3050004,装着小喇叭的奢华型包裹
str_res_item_detail_3050003,装着小喇叭的经济型包裹
str_res_item_detail_3050011,装着化肥的微型包裹
str_res_item_detail_3050013,装着化肥的奢华型包裹
str_res_item_detail_3050012,装着化肥的经济型包裹
str_res_item_detail_3050014,装着各种花苗的包裹
str_res_item_detail_3050015,装着各种动作卡片的包裹
str_res_item_detail_3050005,装着大喇叭的微型包裹
str_res_item_detail_3050007,装着大喇叭的奢华型包裹
str_res_item_detail_3050006,装着大喇叭的经济型包裹
str_res_item_detail_3050008,装着宠物口粮的微型包裹
str_res_item_detail_3050010,装着宠物口粮的奢华型包裹
str_res_item_detail_3050009,装着宠物口粮的经济型包裹
str_res_item_detail_3084216,装载着你我共同的美好回忆。无需钥匙，可直接开启；右键点击可了解礼盒内容
str_res_item_detail_3050096,装有宠物营养大礼的包裹
str_res_item_detail_3050097,装有宠物调理大礼的包裹
str_res_item_detail_3050098,装有宠物秘境冒险联票大礼的包裹
str_res_item_detail_3018231,装饰爱空间照片的相框
str_res_item_detail_3018230,装饰爱空间照片的相框
str_res_item_detail_3018229,装饰爱空间照片的相框
str_res_item_detail_3018228,装饰爱空间照片的相框
str_res_item_detail_3018227,装饰爱空间照片的相框
str_res_item_detail_3018226,装饰爱空间照片的相框
str_res_item_detail_3018232,装饰爱空间照片的相框
str_res_item_detail_3018233,装饰爱空间照片的相框
str_res_item_detail_3018234,装饰爱空间照片的相框
str_res_item_detail_3018235,装饰爱空间照片的相框
str_res_item_detail_3018236,装饰爱空间照片的相框
str_res_item_detail_3018237,装饰爱空间照片的相框
str_res_item_detail_3084168,装满奖励的钻石箱~在每日签到中有机会发现它
str_res_item_detail_3084167,装满奖励的银箱子~在每日签到中有机会发现它
str_res_item_detail_3084166,装满奖励的金箱子~在每日签到中有机会发现它
str_res_item_detail_3050180,装满吉祥与如意。打开包裹收获惊喜
str_res_item_detail_3052034,装备后，花园中使用齐舞欢腾花园背景
str_res_item_name_3034349,转转转晕
str_res_item_name_3067005,转身遇到爱双人装
str_res_item_name_3034363,转角爱
str_res_item_detail_3016107,祝愿身边的每一个人圣诞快乐。使用后，播放“圣诞快乐”文字烟花特效。
str_res_item_detail_3050026,祝贺顺利小学入学的大礼包
str_res_item_detail_3050027,祝贺顺利小学毕业的大礼包
str_res_item_detail_3050029,祝贺顺利高中毕业的大礼包
str_res_item_detail_3050030,祝贺顺利大学毕业的大礼包
str_res_item_detail_3050028,祝贺顺利初中毕业的大礼包
str_res_item_name_3018331,竹篾
str_res_item_detail_3040431,猪兔子宠物蛋。可砸出珍贵等级的猪兔子，有效期永久
str_res_item_detail_3040421,猪兔子宠物蛋。可砸出珍贵等级的猪兔子，有效期7天
str_res_item_detail_3040426,猪兔子宠物蛋。可砸出珍贵等级的猪兔子，有效期30天
str_res_item_detail_3040416,猪兔子宠物蛋。可砸出珍贵等级的猪兔子，有效期1天
str_res_item_detail_3040411,猪兔子宠物蛋。可砸出稀少等级的猪兔子，有效期永久
str_res_item_detail_3040401,猪兔子宠物蛋。可砸出稀少等级的猪兔子，有效期7天
str_res_item_detail_3040406,猪兔子宠物蛋。可砸出稀少等级的猪兔子，有效期30天
str_res_item_detail_3040396,猪兔子宠物蛋。可砸出稀少等级的猪兔子，有效期1天
str_res_item_detail_3040391,猪兔子宠物蛋。可砸出随机稀有等级的猪兔子，有效期永久
str_res_item_detail_3040381,猪兔子宠物蛋。可砸出随机稀有等级的猪兔子，有效期7天
str_res_item_detail_3040386,猪兔子宠物蛋。可砸出随机稀有等级的猪兔子，有效期30天
str_res_item_detail_3040376,猪兔子宠物蛋。可砸出随机稀有等级的猪兔子，有效期1天
str_res_item_detail_3040451,猪兔子宠物蛋。可砸出极品稀有等级的猪兔子，有效期永久
str_res_item_detail_3040441,猪兔子宠物蛋。可砸出极品稀有等级的猪兔子，有效期7天
str_res_item_detail_3040446,猪兔子宠物蛋。可砸出极品稀有等级的猪兔子，有效期30天
str_res_item_detail_3040436,猪兔子宠物蛋。可砸出极品稀有等级的猪兔子，有效期1天
str_res_item_name_3040391,猪兔子宠物蛋（永久）
str_res_item_name_3040381,猪兔子宠物蛋（7天）
str_res_item_name_3040386,猪兔子宠物蛋（30天）
str_res_item_name_3040376,猪兔子宠物蛋（1天）
str_res_item_detail_3084009,株株翠竹长青，如同我心长情。无需钥匙，可直接开启；右键点击可了解礼盒内容
str_res_item_name_3104012,珠光宝气主题卡包
str_res_item_name_3005109,周年许愿草
str_res_item_name_3030111,周年甜蜜糖果
str_res_item_name_3016115,周年庆主题烟花
str_res_item_name_3040592,周年庆珍贵明星蛋（永久）
str_res_item_name_3040585,周年庆珍贵明星蛋（1天）
str_res_item_name_3040591,周年庆珍贵宠物蛋（永久）
str_res_item_name_3040584,周年庆珍贵宠物蛋（1天）
str_res_item_name_3028106,周年庆许愿卡
str_res_item_name_3036168,周年庆祈福卡
str_res_item_name_3040564,周年庆明星蛋（永久）
str_res_item_name_3040557,周年庆明星蛋（1天）
str_res_item_name_3040578,周年庆精品明星蛋（永久）
str_res_item_name_3040571,周年庆精品明星蛋（1天）
str_res_item_name_3040577,周年庆精品宠物蛋（永久）
str_res_item_name_3040570,周年庆精品宠物蛋（1天）
str_res_item_name_3040606,周年庆极品明星蛋（永久）
str_res_item_name_3040599,周年庆极品明星蛋（1天）
str_res_item_name_3040605,周年庆极品宠物蛋（永久）
str_res_item_name_3040598,周年庆极品宠物蛋（1天）
str_res_item_name_3040563,周年庆宠物蛋（永久）
str_res_item_name_3040556,周年庆宠物蛋（1天）
str_res_item_name_3063664,周年快乐宠物蛋(永久)
str_res_item_name_3063658,周年快乐宠物蛋(1天)
str_res_item_name_3005122,重阳情深
str_res_item_name_3005121,重阳菊花
str_res_item_detail_3041119,重阳节正是菊花盛开时节，据传饮菊花酒，起源于晋朝大诗人陶渊明。适用等级1~10级，恢复体力30点，亲密度10点
str_res_item_name_3016121,重阳节烟花
str_res_item_name_3028108,重阳节许愿卡
str_res_item_detail_3041118,重阳糕又称花糕、菊糕、五色糕。用“吃糕”代替“登高”之意。适用等级5~10级，恢复体力20点
str_res_item_name_3041118,重阳糕
str_res_item_name_3018115,重阳登高
str_res_item_name_3034598,众人皆醉
str_res_item_detail_3049112,种下团圆花，团团圆圆过新年。效果：对局内使用，增加5点友好度
str_res_item_name_3078101,终极宠物栏位钥匙
str_res_item_name_3000022,中型宁静饮品
str_res_item_name_3050194,中型聚宝盆
str_res_item_name_3010001,中型花束
str_res_item_name_3000026,中型疯狂饮品
str_res_item_name_3084194,中型VIP舞台礼盒
str_res_item_detail_3052022,中秋月圆之夜，望月思乡。使用后消耗一个道具，立即替换当前花园背景，并且获得花束生长加速15%效果。背景有效期7天。
str_res_item_detail_3052021,中秋月圆之夜，望月思乡。使用后消耗一个道具，立即替换当前花园背景，并且获得花束生长加速15%效果。背景有效期1天。
str_res_item_name_3052022,中秋月夜（7天）
str_res_item_name_3052021,中秋月夜（1天）
str_res_item_detail_3018152,中秋月桂，带来好运
str_res_item_name_3018113,中秋月饼
str_res_item_detail_3016103,中秋夜，月儿圆。播放中秋烟花特效。
str_res_item_name_3016103,中秋烟火
str_res_item_name_3016119,中秋节主题烟花
str_res_item_name_3028004,中秋节月饼
str_res_item_name_3028100,中秋节许愿卡
str_res_item_name_3018151,中秋节福利券
str_res_item_name_3097002,中级萌物
str_res_item_name_3098002,中级乐魂
str_res_item_name_3018302,中级经验卡
str_res_item_name_3099002,中级金粉
str_res_item_name_3030007,中级徽章栏位卡
str_res_item_name_3034483,中二少年
str_res_item_name_3104013,稚趣娇萌主题卡包
str_res_item_name_3018176,智慧宝石
str_res_item_name_3102004,挚友同心包裹
str_res_item_name_3050130,挚爱甜心包裹
str_res_item_name_3115033,炙热阳光
str_res_item_detail_3115033,炙热强烈的阳光，是家园建设所需的材料，可以在温室中生产
str_res_item_name_3018294,至尊钥匙
str_res_item_name_3034239,纸飞机
str_res_item_detail_3041128,植株轻巧、滞洒，花茎轻盈下垂，花朵奇异可爱，形似飞翔的金蝶，极富动感，是世界重要的盆花和切花种类之一。对局外使用，增加1-30级宠物30点体力
str_res_item_name_3018132,植树节纪念章
str_res_item_name_3046192,植树节花苗
str_res_item_name_3034433,直腿天使
str_res_item_name_3034327,执子之手
str_res_item_detail_3049108,栀子花代表坚强，永恒的爱，一生的守候。效果：对局内使用，增加80点心动值
str_res_item_name_3087001,织羽的梦
str_res_item_detail_3063199,织小女宠物蛋。可砸出珍贵稀有等级的织小女，有效期永久
str_res_item_detail_3063194,织小女宠物蛋。可砸出珍贵稀有等级的织小女，有效期1天
str_res_item_detail_3063189,织小女宠物蛋。可砸出稀少稀有等级的织小女，有效期永久
str_res_item_detail_3063184,织小女宠物蛋。可砸出稀少稀有等级的织小女，有效期1天
str_res_item_detail_3063179,织小女宠物蛋。可砸出随机稀有等级的织小女，有效期永久
str_res_item_detail_3063174,织小女宠物蛋。可砸出随机稀有等级的织小女，有效期1天
str_res_item_detail_3063209,织小女宠物蛋。可砸出极品稀有等级的织小女，有效期永久
str_res_item_detail_3063204,织小女宠物蛋。可砸出极品稀有等级的织小女，有效期1天
str_res_item_name_3063179,织小女(永久)
str_res_item_name_3063174,织小女(1天)
str_res_item_detail_3018114,只在鬼节才能看到的可爱幽灵。具有珍藏价值。
str_superfirework_3120001_slef,只愿得到生生世世亘古不变的永恒，愿得一人心，白首不相离
str_res_item_detail_3051029,只有魔法神龙能够学习的仙界怒气技能，使用后可以使魔法神龙掌握威力超级惊人的怒气技能！技能威力受攻击属性影响
str_res_item_detail_3036160,只有魔法神龙可以返还且只能合成魔法神龙相关物品。可在魔法屋的魔法商店中换取稀有道具。在魔法屋使用普通龙魂和高级龙魂合成或进化魔法神龙时，如果失败了，就会返还一定数量的这种碎片，可以在对局外使用，立刻增加100点人物经验。
str_res_item_detail_3051031,只有魔法麒麟能够学习的仙界怒气技能，使用后可以使魔法麒麟掌握威力超级惊人的怒气技能！技能威力受攻击属性影响
str_res_item_detail_3097162,只有魔法麒麟可以返还且只能合成魔法麒麟相关物品。可在魔法屋的魔法商店换取稀有道具。在魔法屋使用普通龙魂和高级龙魂合成或进化魔法麒麟时，如果失败了，就会返还一定数量的这种碎片，可以在对局外使用，立刻增加100点人物经验。
str_res_item_detail_3051030,只有魔法凤凰能够学习的仙界怒气技能，使用后可以使魔法凤凰掌握威力超级惊人的怒气技能！技能威力受攻击属性影响
str_res_item_detail_3097122,只有魔法凤凰可以返还且只能合成魔法凤凰相关物品。可在魔法屋的魔法商店换取稀有道具。在魔法屋使用普通龙魂和高级龙魂合成或进化魔法凤凰时，如果失败了，就会返还一定数量的这种碎片，可以在对局外使用，立刻增加100点人物经验。
str_res_item_detail_3088105,只有发祝福邮件时，才可以使用6周年个性信纸哟
str_res_item_detail_3060002,支持小猪的铁杆fans的象征，具有珍藏价值
str_res_item_name_3034155,支撑侧翻
str_res_item_name_3074100,镇长选票
str_res_item_detail_3050047,镇长上任的荣耀礼包，内有镇长套装、手杖以及公务车。领取礼包后所有物品直接发放到背包中
str_res_item_name_3050047,镇长荣耀礼包
str_res_item_name_3084153,镇长的超级馈赠
str_res_item_name_3036170,阵营勋章
str_res_item_detail_3036170,阵营荣誉的象征。通过与同阵营的玩家进行指定游戏获得，可捐献给自己阵营，赢取更多奖励.直接使用可增加100点经验
str_res_item_name_3040019,真心不渝烟花
str_superfirework_3120003_slef,真情流淌在心里，像蓝色的海洋，洋溢澎湃在身边
str_res_item_detail_3089120,真情pose动作包，其中包含你是我的一切、骑马舞、二萌之舞、走你style房间动作，使用以上任一动作将消耗一个动作包
str_res_item_name_3089120,真情pose动作包
str_res_item_name_3034221,真爱出击
str_res_item_name_3040109,珍品熊猫
str_res_item_name_3040111,珍品考拉
str_res_item_name_3040110,珍品狐狸
str_res_item_name_3040108,珍品宠物蛋
str_res_item_name_3063290,珍贵紫玉兔(永久)
str_res_item_name_3063283,珍贵紫玉兔(1天)
str_res_item_name_3042525,珍贵紫烟仙狐(永久)
str_res_item_name_3042516,珍贵紫灵宝贝(永久)
str_res_item_name_3063398,珍贵紫凤蝶(永久)
str_res_item_name_3063391,珍贵紫凤蝶(1天)
str_res_item_name_3040431,珍贵猪兔子（永久）
str_res_item_name_3040421,珍贵猪兔子（7天）
str_res_item_name_3040426,珍贵猪兔子（30天）
str_res_item_name_3040416,珍贵猪兔子（1天）
str_res_item_name_3063688,珍贵周年快乐宠物蛋(永久)
str_res_item_name_3063682,珍贵周年快乐宠物蛋(1天)
str_res_item_name_3063199,珍贵织小女(永久)
str_res_item_name_3063194,珍贵织小女(1天)
str_res_item_name_3040263,珍贵招财猫（永久）
str_res_item_name_3040251,珍贵招财猫（7天）
str_res_item_name_3040257,珍贵招财猫（30天）
str_res_item_name_3040245,珍贵招财猫（1天）
str_res_item_name_3063689,珍贵云之baby(永久)
str_res_item_name_3063683,珍贵云之baby(1天)
str_res_item_name_3042268,珍贵云端精灵宠物蛋(永久)
str_res_item_name_3042267,珍贵云端精灵宠物蛋(1天)
str_res_item_name_3040914,珍贵玉兔精(永久)
str_res_item_name_3040908,珍贵玉兔精(1天)
str_res_item_name_3040174,珍贵悠悠蛋（永久）
str_res_item_name_3040164,珍贵悠悠蛋（7天）
str_res_item_name_3040169,珍贵悠悠蛋（30天）
str_res_item_name_3040159,珍贵悠悠蛋（1天）
str_res_item_name_3042497,珍贵幽冥魔仙(永久)
str_res_item_name_3042256,珍贵优优王子(永久)
str_res_item_name_3042253,珍贵优优王子(1天)
str_res_item_name_3042109,珍贵优雅莹莹(永久)
str_res_item_name_3042102,珍贵优雅莹莹(1天)
str_res_item_name_3040985,珍贵迎春狮(永久)
str_res_item_name_3040982,珍贵迎春狮(1天)
str_res_item_name_3042222,珍贵樱桃帅帅(永久)
str_res_item_name_3042215,珍贵樱桃帅帅(1天)
str_res_item_name_3042294,珍贵樱花小爱神(永久)
str_res_item_name_3042291,珍贵樱花小爱神(1天)
str_res_item_name_3063948,珍贵燚神小恶魔(永久)
str_res_item_name_3063942,珍贵燚神小恶魔(1天)
str_res_item_name_3063746,珍贵夜魇王子(永久)
str_res_item_name_3063739,珍贵夜魇王子(1天)
str_res_item_name_3063795,珍贵摇滚天王(永久)
str_res_item_name_3063789,珍贵摇滚天王(1天)
str_res_item_name_3040543,珍贵洋葱头(永久）
str_res_item_name_3040537,珍贵洋葱头(1天）
str_res_item_name_3042398,珍贵雪域冰龙(永久)
str_res_item_name_3042394,珍贵雪域冰龙(1天)
str_res_item_name_3040172,珍贵雪人蛋（永久）
str_res_item_name_3040162,珍贵雪人蛋（7天）
str_res_item_name_3040167,珍贵雪人蛋（30天）
str_res_item_name_3040157,珍贵雪人蛋（1天）
str_res_item_name_3063896,珍贵炫舞新声代宠物蛋(永久)
str_res_item_name_3063890,珍贵炫舞新声代宠物蛋(1天)
str_res_item_name_3063113,珍贵炫舞小音(永久)
str_res_item_name_3063107,珍贵炫舞小音(1天)
str_res_item_name_3063944,珍贵炫宠大乐斗宠物蛋(永久)
str_res_item_name_3063938,珍贵炫宠大乐斗宠物蛋(1天)
str_res_item_name_3042325,珍贵熊小蓝(永久)
str_res_item_name_3042321,珍贵熊小蓝(1天)
str_res_item_name_3040485,珍贵熊猫妹宠物蛋（永久）
str_res_item_name_3040479,珍贵熊猫妹宠物蛋（7天）
str_res_item_name_3040482,珍贵熊猫妹宠物蛋（30天）
str_res_item_name_3040476,珍贵熊猫妹宠物蛋（1天）
